,Group,Subgroup,Value,Time Period Start Date,Time Period Label,Date
2723,By Gender identity,Cis-gender female,34.8,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2722,By Gender identity,Cis-gender male,28.0,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2729,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",30.6,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2721,By Sex,Female,35.3,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2719,By Age,80 years and above,16.4,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2718,By Age,70 - 79 years,15.2,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2717,By Age,60 - 69 years,23.2,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2716,By Age,50 - 59 years,31.7,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2715,By Age,40 - 49 years,34.2,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2714,By Age,30 - 39 years,38.8,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2713,By Age,18 - 29 years,49.1,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2720,By Sex,Male,28.8,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2730,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",34.8,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2712,National Estimate,United States,32.2,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2732,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",47.4,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2748,By State,Florida,31.5,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2747,By State,District of Columbia,31.7,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2746,By State,Delaware,33.9,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2745,By State,Connecticut,28.1,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2731,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",23.5,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2743,By State,California,33.9,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2742,By State,Arkansas,38.3,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2741,By State,Arizona,30.9,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2744,By State,Colorado,30.9,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2739,By State,Alabama,32.4,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2738,By Disability status,Without disability,27.0,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2737,By Disability status,With disability,62.2,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2736,By Education,Bachelor's degree or higher,26.4,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2735,By Education,Some college/Associate's degree,36.5,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2734,By Education,High school diploma or GED,32.2,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2733,By Education,Less than a high school diploma,41.2,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2740,By State,Alaska,36.5,09/15/2021,"Sep 15 - Sep 27, 2021",2021-09-15
2846,By State,New Hampshire,23.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2845,By State,Nevada,30.0,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2844,By State,Nebraska,33.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2843,By State,Montana,28.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2842,By State,Missouri,33.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2841,By State,Mississippi,35.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2840,By State,Minnesota,24.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2831,By State,Indiana,28.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2838,By State,Massachusetts,31.4,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2837,By State,Maryland,28.4,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2836,By State,Maine,28.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2835,By State,Louisiana,32.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2834,By State,Kentucky,36.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2833,By State,Kansas,29.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2832,By State,Iowa,27.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2847,By State,New Jersey,28.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2839,By State,Michigan,29.8,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2848,By State,New Mexico,31.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2857,By State,South Carolina,30.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2850,By State,North Carolina,35.0,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2830,By State,Illinois,31.3,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2866,By State,Wisconsin,22.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2865,By State,West Virginia,31.7,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2864,By State,Washington,33.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2863,By State,Virginia,27.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2862,By State,Vermont,33.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2861,By State,Utah,31.1,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2849,By State,New York,29.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2860,By State,Texas,34.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2858,By State,South Dakota,24.7,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2856,By State,Rhode Island,37.3,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2855,By State,Pennsylvania,33.8,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2854,By State,Oregon,34.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2853,By State,Oklahoma,37.7,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2852,By State,Ohio,26.4,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2851,By State,North Dakota,33.3,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2859,By State,Tennessee,34.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2829,By State,Idaho,33.0,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2867,By State,Wyoming,29.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2827,By State,Georgia,34.3,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2805,By Sexual orientation,Bisexual,58.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2804,By Sexual orientation,Straight,28.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2803,By Sexual orientation,Gay or lesbian,44.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2802,By Gender identity,Transgender,53.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2801,By Gender identity,Cis-gender female,34.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2800,By Gender identity,Cis-gender male,26.8,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2799,By Sex,Female,35.3,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2806,By Race/Hispanic ethnicity,Hispanic or Latino,35.1,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2798,By Sex,Male,27.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2796,By Age,70 - 79 years,15.1,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2795,By Age,60 - 69 years,22.1,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2794,By Age,50 - 59 years,29.4,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2793,By Age,40 - 49 years,35.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2792,By Age,30 - 39 years,39.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2791,By Age,18 - 29 years,47.7,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2790,National Estimate,United States,31.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2797,By Age,80 years and above,18.4,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2807,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",30.4,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2828,By State,Hawaii,32.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2809,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",24.2,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2826,By State,Florida,31.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2825,By State,District of Columbia,35.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2824,By State,Delaware,26.6,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2823,By State,Connecticut,28.7,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2822,By State,Colorado,32.0,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2808,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",32.4,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2820,By State,Arkansas,37.8,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2819,By State,Arizona,33.0,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2821,By State,California,32.0,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2817,By State,Alabama,34.1,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2816,By Disability status,Without disability,26.1,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2815,By Disability status,With disability,63.3,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2814,By Education,Bachelor's degree or higher,25.9,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2813,By Education,Some college/Associate's degree,35.8,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2812,By Education,High school diploma or GED,31.8,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2811,By Education,Less than a high school diploma,39.0,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2810,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",44.0,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2818,By State,Alaska,38.5,09/29/2021,"Sep 29 - Oct 11, 2021",2021-09-29
2945,By State,New Hampshire,30.7,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2944,By State,Nevada,36.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2943,By State,Nebraska,30.5,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2942,By State,Montana,30.1,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2941,By State,Missouri,32.8,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2940,By State,Mississippi,31.7,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2939,By State,Minnesota,27.9,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2930,By State,Indiana,30.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2937,By State,Massachusetts,30.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2936,By State,Maryland,28.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2935,By State,Maine,30.9,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2934,By State,Louisiana,38.7,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2933,By State,Kentucky,36.7,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2932,By State,Kansas,31.1,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2931,By State,Iowa,29.8,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2946,By State,New Jersey,27.8,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2938,By State,Michigan,31.4,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2947,By State,New Mexico,34.6,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2956,By State,South Carolina,25.1,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2949,By State,North Carolina,30.0,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2929,By State,Illinois,27.6,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2965,By State,Wisconsin,26.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2964,By State,West Virginia,39.9,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2963,By State,Washington,33.6,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2962,By State,Virginia,31.5,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2961,By State,Vermont,32.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2960,By State,Utah,32.5,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2948,By State,New York,33.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2959,By State,Texas,29.5,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2957,By State,South Dakota,24.0,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2955,By State,Rhode Island,27.8,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2954,By State,Pennsylvania,28.9,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2953,By State,Oregon,35.6,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2952,By State,Oklahoma,38.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2951,By State,Ohio,30.1,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2950,By State,North Dakota,33.4,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2958,By State,Tennessee,31.4,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2928,By State,Idaho,32.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2966,By State,Wyoming,32.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2926,By State,Georgia,29.9,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2904,By Sexual orientation,Bisexual,59.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2903,By Sexual orientation,Straight,28.1,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2902,By Sexual orientation,Gay or lesbian,45.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2901,By Gender identity,Transgender,56.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2900,By Gender identity,Cis-gender female,33.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2899,By Gender identity,Cis-gender male,27.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2898,By Sex,Female,33.8,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2905,By Race/Hispanic ethnicity,Hispanic or Latino,32.6,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2897,By Sex,Male,27.5,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2895,By Age,70 - 79 years,14.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2894,By Age,60 - 69 years,21.0,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2893,By Age,50 - 59 years,29.7,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2892,By Age,40 - 49 years,35.4,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2891,By Age,30 - 39 years,37.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2890,By Age,18 - 29 years,44.5,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2889,National Estimate,United States,30.7,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2896,By Age,80 years and above,17.4,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2906,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",30.0,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2927,By State,Hawaii,31.9,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2908,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",26.1,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2925,By State,Florida,28.8,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2924,By State,District of Columbia,31.1,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2923,By State,Delaware,26.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2922,By State,Connecticut,29.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2921,By State,Colorado,33.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2907,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",30.7,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2919,By State,Arkansas,34.4,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2918,By State,Arizona,31.2,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2920,By State,California,30.4,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2916,By State,Alabama,32.1,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2915,By Disability status,Without disability,25.9,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2914,By Disability status,With disability,60.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2913,By Education,Bachelor's degree or higher,25.3,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2912,By Education,Some college/Associate's degree,33.4,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2911,By Education,High school diploma or GED,32.8,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2910,By Education,Less than a high school diploma,35.5,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2909,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",41.7,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
2917,By State,Alaska,37.8,12/01/2021,"Dec 1 - Dec 13, 2021",2021-12-01
3022,By State,Nevada,35.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3021,By State,Nebraska,35.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3020,By State,Montana,34.6,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3019,By State,Missouri,32.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3018,By State,Mississippi,36.3,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3017,By State,Minnesota,26.3,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3016,By State,Michigan,31.2,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3007,By State,Illinois,29.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3014,By State,Maryland,27.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3013,By State,Maine,32.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3012,By State,Louisiana,30.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3011,By State,Kentucky,34.2,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3010,By State,Kansas,28.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3009,By State,Iowa,28.0,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3008,By State,Indiana,32.2,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3023,By State,New Hampshire,31.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3015,By State,Massachusetts,30.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3024,By State,New Jersey,33.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3034,By State,South Carolina,29.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3026,By State,New York,31.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3006,By State,Idaho,28.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3043,By State,Wisconsin,25.5,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3042,By State,West Virginia,34.6,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3041,By State,Washington,32.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3040,By State,Virginia,35.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3039,By State,Vermont,34.5,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3038,By State,Utah,34.3,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3037,By State,Texas,35.1,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3036,By State,Tennessee,31.3,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3035,By State,South Dakota,28.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3033,By State,Rhode Island,35.6,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3032,By State,Pennsylvania,29.1,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3031,By State,Oregon,36.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3030,By State,Oklahoma,35.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3029,By State,Ohio,32.3,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3028,By State,North Dakota,24.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3027,By State,North Carolina,29.3,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3025,By State,New Mexico,36.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3044,By State,Wyoming,33.9,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3005,By State,Hawaii,32.1,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3003,By State,Florida,33.6,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2982,By Sexual orientation,Bisexual,60.2,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2981,By Sexual orientation,Straight,29.3,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2980,By Sexual orientation,Gay or lesbian,48.9,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2979,By Gender identity,Transgender,56.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2978,By Gender identity,Cis-gender female,35.2,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2977,By Gender identity,Cis-gender male,27.6,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2975,By Sex,Male,28.0,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2983,By Race/Hispanic ethnicity,Hispanic or Latino,35.5,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2974,By Age,80 years and above,15.0,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2972,By Age,60 - 69 years,22.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2971,By Age,50 - 59 years,29.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2970,By Age,40 - 49 years,35.2,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2969,By Age,30 - 39 years,39.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2968,By Age,18 - 29 years,47.5,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2967,National Estimate,United States,32.1,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3004,By State,Georgia,29.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2973,By Age,70 - 79 years,16.1,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2984,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",31.0,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2976,By Sex,Female,35.8,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2986,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",24.3,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2985,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",34.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3001,By State,Delaware,30.1,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3000,By State,Connecticut,31.6,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2999,By State,Colorado,30.2,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2998,By State,California,31.9,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2997,By State,Arkansas,40.6,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2996,By State,Arizona,34.1,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2995,By State,Alaska,31.9,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3002,By State,District of Columbia,35.9,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2993,By Disability status,Without disability,27.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2992,By Disability status,With disability,60.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2991,By Education,Bachelor's degree or higher,27.4,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2990,By Education,Some college/Associate's degree,36.2,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2989,By Education,High school diploma or GED,32.7,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2988,By Education,Less than a high school diploma,33.0,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2987,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",40.6,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
2994,By State,Alabama,33.9,12/29/2021,"Dec 29, 2021 - Jan 10, 2022",2021-12-29
3101,By State,New Hampshire,23.9,01/26/2022,"Jan 26 - Feb 7, 2022",2022-01-26
3100,By State,Nevada,37.0,01/26/2022,"Jan 26 - Feb 7, 2022",2022-01-26
3099,By State,Nebraska,28.3,01/26/2022,"Jan 26 - Feb 7, 2022",2022-01-26
3098,By State,Montana,33.3,01/26/2022,"Jan 26 - Feb 7, 2022",2022-01-26
3097,By State,Missouri,31.4,01/26/2022,"Jan 26 - Feb 7, 2022",2022-01-26
3096,By State,Mississippi,37.2,01/26/2022,"Jan 26 - Feb 7, 2022",2022-01-26
